f,V(1),V(2),V(3),V(4),V(5),I(1),I(1),I(2),I(3)
10.0,(-1+0j),(-0.9993368751483392-0.025742671133584676j),(0.0002532382023697835+6.523353559937389e-06j),(-1.9829184871790676e-08-5.109243116666197e-10j),(-2.629179688401387e-11+5.099884013578736e-10j),(0.0006631248516607841-0.025742671133584676j),(-0.0006631248516607841+0.025742671133584676j),(5.191526403649479e-08-2.0153633799823296e-06j),(-2.629179688401387e-11+5.099884013578736e-10j)
265.42731725075987,(-1+0j),(-0.9999990586047959-0.0009702547695677583j),(3.595686598140873e-07+3.4887353559957823e-10j),(-3.995053053544445e-14-3.876224322704504e-17j),(-7.52184486479784e-20+3.876214237056212e-17j),(9.41395204093914e-07-0.0009702547695677583j),(-9.41395204093914e-07+0.0009702547695677583j),(1.0459540195210039e-13-1.0780189571557883e-10j),(-7.52184486479784e-20+3.876214237056212e-17j)
7045.16607429356,(-1+0j),(-0.9999999986637712-3.655446407462795e-05j),(5.103766540607357e-10+1.86565450903214e-14j),(-8.048965777171425e-20-2.9422563088284143e-24j),(-2.151052048592621e-28+2.9422562979620405e-24j),(1.3362288455687733e-09-3.655446407462795e-05j),(-1.3362288455687733e-09+3.655446407462795e-05j),(2.1073182245086355e-19-5.764872430876211e-15j),(-2.151052048592621e-28+2.9422562979620405e-24j)
186997.95306858091,(-1+0j),(-0.9999999999981033-1.3771929914146396e-06j),(7.244352354780143e-13+9.976871290360277e-19j),(-1.6216518081455217e-25-2.2333275046987436e-31j),(-6.1514459740003995e-37+2.2333275046870362e-31j),(1.896660535605201e-12-1.3771929914146396e-06j),(-1.896660535605201e-12+1.3771929914146396e-06j),(4.2456838601609295e-25-3.0828532287197826e-19j),(-6.1514459740003995e-37+2.2333275046870362e-31j)
4963436.501437694,(-1+0j),(-0.9999999999999973-5.188587993432348e-08j),(1.0282727587104356e-15+5.335283689818539e-23j),(-3.2671956368854565e-31-1.6952132053738496e-38j),(-1.7591525767421405e-45+1.6952132053738368e-38j),(2.692144536559039e-15-5.188587993432348e-08j),(-2.692144536559039e-15+5.188587993432348e-08j),(8.553919968415322e-31-1.6486026601539276e-23j),(-1.7591525767421405e-45+1.6952132053738368e-38j)
131743163.49211043,(-1+0j),(-1-1.954805574337508e-09j),(1.4595436755741008e-18+2.8531241130013077e-27j),(-6.582527319406819e-37-1.2867561097205386e-45j),(-5.030716032189111e-54+1.2867561097205386e-45j),(3.821264833460995e-18-1.954805574337508e-09j),(-3.821264833460995e-18+1.954805574337508e-09j),(1.72338660239486e-36-8.81615350917404e-28j),(-5.030716032189111e-54+1.2867561097205386e-45j)
3496823445.1839194,(-1+0j),(-1-7.364749018996868e-11j),(2.0716952023312653e-21+1.5257515209029703e-31j),(-1.326203592510976e-42-9.767156606935334e-53j),(-1.4386531407863154e-62+9.767156606935332e-53j),(5.423952811281533e-21-7.364749018996868e-11j),(-5.423952811281533e-21+7.364749018996868e-11j),(3.4721640981921675e-42-4.7145721995901786e-32j),(-1.4386531407863154e-62+9.767156606935332e-53j)
92815246595.47253,(-1+0j),(-1-2.7746763578366384e-12j),(2.9405910101828385e-24+8.15918835402128e-36j),(-2.6719463261529516e-48-7.413786300585058e-60j),(-4.114171514057303e-71+7.413786300585059e-60j),(7.698828890737594e-24-2.7746763578366384e-12j),(-7.698828890737594e-24+2.7746763578366384e-12j),(6.995484070737015e-48-2.521189201392576e-36j),(-4.114171514057303e-71+7.413786300585059e-60j)
2463570190380.405,(-1+0j),(-1-1.0453620172091346e-13j),(4.173912976888471e-27+4.363250089175516e-40j),(-5.383258807439135e-54-5.627454286103414e-67j),(-1.1765453928546511e-79+5.627454286103414e-67j),(1.0927817470235511e-26-1.0453620172091346e-13j),(-1.0927817470235511e-26+1.0453620172091346e-13j),(1.4094033576758123e-53-1.3482442775552343e-40j),(-1.1765453928546511e-79+5.627454286103414e-67j)
65389882649161.6,(-1+0j),(-1-3.938411569829253e-15j),(5.92450615482047e-30+2.3333143585669556e-44j),(-1.0845829912158237e-59-4.271534201044419e-74j),(-3.3646119436629384e-88+4.271534201044418e-74j),(1.5511085693364921e-29-3.938411569829253e-15j),(-1.5511085693364921e-29+3.938411569829253e-15j),(2.839571650141105e-59-7.209941367971893e-45j),(-3.3646119436629384e-88+4.271534201044418e-74j)
